time,open,high,low,close,tick_volume,spread,real_volume
2023-04-13,29955.0,30601.0,29813.0,30283.0,28255,642,0
2023-04-14,30272.0,31010.0,29993.0,30453.0,42921,1500,0
2023-04-17,30349.0,30426.0,29235.0,29452.0,27133,642,0
2023-04-18,29445.0,30480.0,29104.0,30388.0,29044,642,0
2023-04-19,30401.0,30424.0,29010.0,29239.0,36883,642,0
2023-04-20,29235.0,29247.0,27989.0,28202.0,51847,642,0
2023-04-21,28192.0,28360.0,27158.0,27300.0,45825,1600,0
2023-04-24,27497.0,27990.0,26953.0,27440.0,40588,642,0
2023-04-25,27493.0,28040.0,27176.0,27994.0,28790,400,0
2023-04-26,27966.0,30012.0,27225.0,28279.0,55554,642,0
2023-04-27,28414.0,29884.0,28089.0,29599.0,68820,642,0
2023-04-28,29625.0,29780.0,28881.0,29360.0,40596,400,0
2023-05-01,29332.0,29490.0,27654.0,27664.0,39677,1700,0
2023-05-02,27664.0,28886.0,27655.0,28682.0,36239,642,0
2023-05-03,28683.0,28826.0,28116.0,28510.0,42046,1800,0
2023-05-04,28519.0,29371.0,28518.0,28864.0,34605,663,0
2023-05-05,28869.0,29693.0,28749.0,29528.0,37019,1800,0
2023-05-08,28941.0,28986.0,27272.0,27538.0,44942,642,0
2023-05-09,27538.0,27820.0,27356.0,27637.0,29497,1900,0
2023-05-10,27648.0,28321.0,26778.0,27872.0,37879,642,0
2023-05-11,27866.0,27877.0,26706.0,27000.0,41542,642,0
2023-05-12,26999.0,27086.0,25800.0,26455.0,39068,1500,0
2023-05-15,26939.0,27666.0,26712.0,27339.0,29411,1200,0
2023-05-16,27341.0,27376.0,26846.0,26949.0,27282,642,0
2023-05-17,26946.0,27455.0,26538.0,27333.0,28816,642,0
2023-05-18,27326.0,27489.0,26351.0,26715.0,32934,642,0
2023-05-19,26710.0,27175.0,26632.0,26836.0,23263,1300,0
2023-05-22,26836.0,27081.0,26528.0,26892.0,20779,1300,0
2023-05-23,26885.0,27488.0,26792.0,27204.0,21508,1400,0
2023-05-24,27204.0,27244.0,26053.0,26397.0,28318,642,0
2023-05-25,26385.0,26615.0,25856.0,26481.0,23040,1600,0
2023-05-26,26479.0,26937.0,26320.0,26756.0,17999,1700,0
2023-05-29,27558.0,28447.0,27526.0,27679.0,26788,642,0
2023-05-30,27679.0,28048.0,27546.0,27760.0,22106,642,0
2023-05-31,27758.0,27843.0,26831.0,27106.0,24852,642,0
2023-06-01,27106.0,27342.0,26612.0,26864.0,22563,1900,0
2023-06-02,26864.0,27289.0,26504.0,27200.0,23683,2100,0
2023-06-05,27234.0,27455.0,25384.0,25622.0,36244,1800,0
2023-06-06,25629.0,27202.0,25327.0,26947.0,36061,642,0
2023-06-07,26931.0,27376.0,26245.0,26357.0,39457,642,0
2023-06-08,26351.0,26814.0,26121.0,26646.0,24628,400,0
2023-06-09,26636.0,26773.0,26276.0,26436.0,19352,2000,0
2023-06-12,26125.0,26138.0,25612.0,25870.0,28163,642,0
2023-06-13,25882.0,26407.0,25700.0,25831.0,30430,642,0
2023-06-14,25836.0,26062.0,24791.0,24918.0,23989,642,0
2023-06-15,24892.0,25467.0,24734.0,25456.0,35474,642,0
2023-06-16,25523.0,26483.0,25108.0,26421.0,34707,2300,0
2023-06-19,26452.0,27034.0,26241.0,26706.0,25215,1800,0
2023-06-20,26699.0,28247.0,26633.0,28159.0,40756,642,0
2023-06-21,28156.0,30755.0,28066.0,29930.0,61367,642,0
2023-06-22,29969.0,30487.0,29538.0,30148.0,46969,642,0
2023-06-23,30147.0,31404.0,29796.0,30904.0,48606,2400,0
2023-06-26,30355.0,30655.0,29924.0,30166.0,37226,2300,0
2023-06-27,30149.0,30991.0,30092.0,30627.0,32600,650,0
2023-06-28,30627.0,30719.0,29844.0,30079.0,31789,1000,0
