time,open,close,high,low,tick_volume,target_close
2022-05-09,34216.72,31039.49,34452.86,30296.0,187085,30925.91
2022-05-10,30935.49,30925.91,32635.76,29710.79,203166,28188.31
2022-05-11,30973.91,28188.31,32144.83,28100.81,242413,28549.13
2022-05-12,28744.39,28549.13,30070.04,25244.46,274090,29739.16
2022-05-13,28394.58,29739.16,30988.06,27919.59,194609,29876.96
2022-05-16,31028.8,29876.96,31390.33,29026.7,139541,30070.36
2022-05-17,29989.17,30070.36,30751.75,29381.07,119907,29179.77
2022-05-18,30144.36,29179.77,30677.08,28691.87,133893,30197.92
2022-05-19,29175.58,30197.92,30507.53,28594.56,128785,29123.65
2022-05-20,30183.69,29123.65,30724.5,28690.85,133779,29278.64
2022-05-23,29876.46,29278.64,30636.87,29000.33,128063,29416.35
2022-05-24,29249.14,29416.35,29597.75,28607.89,118308,29752.45
2022-05-25,29407.94,29752.45,30191.76,29291.25,111753,29441.96
2022-05-26,29742.95,29441.96,29846.88,27954.39,121680,28752.76
2022-05-27,29463.96,28752.76,29657.57,28236.68,129449,31247.46
2022-05-30,29117.12,31247.46,31386.71,29117.12,81074,31764.98
2022-05-31,31216.33,31764.98,32370.43,31192.83,106433,29664.54
2022-06-01,31744.02,29664.54,31955.47,29261.46,115535,30228.68
2022-06-02,29679.1,30228.68,30376.57,29480.61,100679,29653.26
2022-06-03,30216.17,29653.26,30673.26,29219.14,102180,31440.73
2022-06-06,29858.34,31440.73,31733.26,29778.28,107196,31316.93
2022-06-07,31443.79,31316.93,31560.58,29154.51,137279,30179.51
2022-06-08,31314.43,30179.51,31505.57,29813.96,133570,30136.47
2022-06-09,30296.79,30136.47,30679.25,29904.3,102164,29178.26
2022-06-10,30125.47,29178.26,30343.8,28810.04,115771,23216.0
2022-06-13,27325.29,23216.0,27491.78,22535.66,277406,21967.27
2022-06-14,23296.43,21967.27,23305.93,20798.04,250572,21631.06
2022-06-15,22030.77,21631.06,22350.28,20009.52,244235,20638.8
2022-06-16,21616.92,20638.8,22955.26,20441.93,258688,20589.26
2022-06-17,20723.8,20589.26,21326.0,20182.43,220091,20409.34
2022-06-20,20467.81,20409.34,21036.95,19610.36,212169,20824.92
2022-06-21,20496.84,20824.92,21695.73,20232.01,168299,19866.92
2022-06-22,20872.36,19866.92,21016.39,19727.17,172808,20768.38
2022-06-23,19899.42,20768.38,21094.81,19810.28,160411,21231.94
2022-06-24,20773.38,21231.94,21437.13,20638.11,158497,20898.51
2022-06-27,21351.8,20898.51,21512.25,20478.28,139316,20224.75
2022-06-28,20872.44,20224.75,21188.23,20174.87,133693,20169.07
2022-06-29,20264.71,20169.07,20430.21,19819.18,150317,18713.19
2022-06-30,20160.65,18713.19,20325.5,18574.78,164865,19389.94
2022-07-01,18754.69,19389.94,20859.18,18709.09,180216,19705.91
2022-07-04,19410.01,19705.91,20092.75,19019.41,161993,20465.21
2022-07-05,19715.91,20465.21,20718.64,19274.37,187781,20387.95
2022-07-06,20433.24,20387.95,20463.24,19733.75,173502,21597.13
2022-07-07,20351.45,21597.13,21823.79,20227.6,158966,21849.75
2022-07-08,21592.13,21849.75,22475.8,21162.21,193550,20379.6
2022-07-11,21078.75,20379.6,21164.63,20235.4,202162,19431.75
2022-07-12,20348.64,19431.75,20407.0,19250.87,213645,19650.0
2022-07-13,19382.07,19650.0,20071.92,18873.73,214811,20666.0
2022-07-14,19649.68,20666.0,20875.07,19594.02,214484,20929.5
2022-07-15,20659.41,20929.5,21188.25,20362.54,213560,21510.5
2022-07-18,20947.44,21510.5,22746.06,20737.99,238368,23306.1
2022-07-19,21460.13,23306.1,23701.74,21431.5,223658,23289.41
2022-07-20,23291.6,23289.41,24276.86,22895.81,221425,23146.75
2022-07-21,23303.91,23146.75,23780.36,22330.06,208498,22550.64
2022-07-22,23083.25,22550.64,23753.03,22492.76,191162,22161.25
2022-07-25,22742.16,22161.25,23011.13,21549.04,175470,20961.61
2022-07-26,22131.32,20961.61,22164.75,20705.32,168570,22775.0
2022-07-27,21009.19,22775.0,23106.74,20808.68,167576,24020.41
2022-07-28,22691.33,24020.41,24203.78,22573.51,178717,23932.28
2022-07-29,24087.91,23932.28,24436.26,23425.25,174697,23041.75
2022-08-01,23788.99,23041.75,23819.74,22845.58,191077,23025.75
2022-08-02,23092.48,23025.75,23459.11,22649.41,211987,23333.0
2022-08-03,23013.1,23333.0,23639.0,22685.75,173556,22499.0
2022-08-04,23361.06,22499.0,23361.9,22376.56,192859,22962.75
2022-08-05,22532.41,22962.75,23463.39,22437.62,169829,24092.25
2022-08-08,23326.58,24092.25,24244.75,23054.69,188423,23143.55
2022-08-09,24000.85,23143.55,24017.85,22858.68,161803,23885.26
2022-08-10,23177.9,23885.26,24190.11,22653.08,163036,24232.5
2022-08-11,23818.48,24232.5,24916.99,23771.26,168526,24195.32
2022-08-12,24199.88,24195.32,24320.3,23585.75,157828,24078.5
2022-08-15,24267.7,24078.5,25213.47,23875.74,183103,23989.75
